Codice,Punti 1,Punti 2,Punti 3,Punti 4,Punti 5,Punti TOT,ateneo
,0.3,1.8,2.4,4.1,4.1,12.7,Università degli Studi di PADOVA 
444433432239753.0,2.2,6.0,19.0,2.8,8.5,38.5,Università degli Studi di PADOVA 
444433433248943.0,4.5,3.7,32.6,15.3,1.8,57.9,Università degli Studi di PADOVA 
444433542239755.0,6.0,7.5,34.5,22.5,19.5,90.0,Università degli Studi di PADOVA 
444433543359944.0,6.0,7.5,34.5,22.5,17.6,88.1,Università degli Studi di PADOVA 
444433553248945.0,6.0,5.6,32.6,9.2,15.7,69.1,Università degli Studi di PADOVA 
444434343259955.0,4.1,5.6,30.7,6.3,16.1,62.8,Università degli Studi di PADOVA 
444434431138753.0,6.0,4.1,30.7,22.5,12.7,76.0,Università degli Studi di PADOVA 
444434452159953.0,4.1,2.2,30.7,14.9,3.3,55.2,Università degli Studi di PADOVA 
444434553359753.0,3.0,7.5,22.1,16.1,14.2,62.9,Università degli Studi di PADOVA 
444434553359955.0,4.5,6.0,25.8,8.5,16.1,60.9,Università degli Studi di PADOVA 
444435333249844.0,4.1,7.5,30.7,16.8,17.6,76.7,Università degli Studi di PADOVA 
444435352338955.0,6.0,7.5,25.8,3.0,3.0,45.3,Università degli Studi di PADOVA 
444435441159853.0,6.0,7.5,34.5,21.0,12.3,81.3,Università degli Studi di PADOVA 
444435442349944.0,4.1,3.7,13.7,5.5,10.5,37.5,Università degli Studi di PADOVA 
444435443348854.0,4.1,3.7,17.8,14.9,6.2,46.7,Università degli Studi di PADOVA 
444435542158853.0,6.0,3.7,30.7,20.6,17.6,78.6,Università degli Studi di PADOVA 
444444331159755.0,4.1,5.6,33.0,17.6,15.0,75.3,Università degli Studi di PADOVA 
444444332239944.0,0.7,5.6,23.1,7.3,11.2,47.9,Università degli Studi di PADOVA 
444444351238755.0,4.1,7.5,33.0,19.5,13.1,77.2,Università degli Studi di PADOVA 
444444451339844.0,4.1,7.5,28.8,16.8,15.7,72.9,Università degli Studi di PADOVA 
444444552148745.0,2.6,5.6,20.5,-0.2,4.1,32.6,Università degli Studi di PADOVA 
444445331149945.0,2.2,3.7,23.9,6.7,-0.8,35.7,Università degli Studi di PADOVA 
444445333359944.0,6.0,7.5,32.6,16.8,19.5,82.4,Università degli Studi di PADOVA 
444445343158744.0,4.5,7.5,17.9,5.9,8.2,44.0,Università degli Studi di PADOVA 
444445433238843.0,4.1,7.5,10.4,12.0,5.6,39.6,Università degli Studi di PADOVA 
444445441349853.0,6.0,7.5,32.6,20.6,12.7,79.4,Università degli Studi di PADOVA 
444445443139754.0,2.6,2.6,34.5,20.6,11.6,71.9,Università degli Studi di PADOVA 
444445532359943.0,6.0,1.8,32.6,16.8,3.2,60.4,Università degli Studi di PADOVA 
444445551259745.0,4.1,1.8,23.9,9.6,14.2,53.6,Università degli Studi di PADOVA 
444445551338853.0,4.5,4.5,33.0,15.7,16.5,74.2,Università degli Studi di PADOVA 
444453333249753.0,6.0,3.7,33.0,10.8,5.1,58.6,Università degli Studi di PADOVA 
444453343139743.0,4.1,5.6,16.7,7.4,-2.4,31.4,Università degli Studi di PADOVA 
444453451348744.0,4.1,5.6,26.9,14.9,12.3,63.8,Università degli Studi di PADOVA 
444453541258754.0,4.5,5.6,19.3,5.9,7.4,42.7,Università degli Studi di PADOVA 
444454443358855.0,6.0,7.5,30.0,19.1,16.5,79.1,Università degli Studi di PADOVA 
444454531359845.0,6.0,5.6,30.7,17.2,17.6,77.1,Università degli Studi di PADOVA 
444454543139953.0,6.0,7.5,33.0,22.5,13.8,82.8,Università degli Studi di PADOVA 
444455531138755.0,6.0,6.0,33.0,22.5,17.6,85.1,Università degli Studi di PADOVA 
444533431158855.0,4.1,5.6,11.8,10.1,7.8,39.4,Università degli Studi di PADOVA 
444533441259954.0,2.6,5.6,27.3,14.2,9.7,59.4,Università degli Studi di PADOVA 
444534451249853.0,0.7,5.6,18.3,8.6,4.8,38.0,Università degli Studi di PADOVA 
444535342159745.0,6.0,7.5,34.5,16.8,17.6,82.4,Università degli Studi di PADOVA 
444535352359745.0,-1.6,5.6,23.1,11.1,4.3,42.5,Università degli Studi di PADOVA 
444535441159943.0,6.0,7.5,25.0,20.6,6.2,65.3,Università degli Studi di PADOVA 
444535441338744.0,4.5,7.5,26.2,21.0,15.7,74.9,Università degli Studi di PADOVA 
444535533358753.0,4.5,7.5,14.5,19.5,10.5,56.5,Università degli Studi di PADOVA 
444543352258954.0,4.5,3.0,26.2,21.0,1.1,55.8,Università degli Studi di PADOVA 
444543441349953.0,4.5,7.5,33.0,21.0,19.5,85.5,Università degli Studi di PADOVA 
444543452139755.0,6.0,5.6,32.6,20.6,13.1,77.9,Università degli Studi di PADOVA 
444543552149943.0,0.3,7.5,9.1,2.4,6.6,25.9,Università degli Studi di PADOVA 
444544333339754.0,0.7,5.6,25.0,2.2,3.0,36.5,Università degli Studi di PADOVA 
444544352358953.0,6.0,6.0,32.6,21.0,13.8,79.4,Università degli Studi di PADOVA 
444544541359753.0,6.0,5.6,32.6,14.2,13.1,71.5,Università degli Studi di PADOVA 
444544543138744.0,6.0,5.6,30.7,21.0,18.0,81.3,Università degli Studi di PADOVA 
444553331349953.0,6.0,6.0,27.7,13.8,14.2,67.7,Università degli Studi di PADOVA 
444553332149753.0,6.0,7.5,34.5,22.5,19.5,90.0,Università degli Studi di PADOVA 
444553341248753.0,6.0,7.5,34.5,20.6,17.6,86.2,Università degli Studi di PADOVA 
444553353258744.0,4.1,7.5,34.5,20.6,15.7,82.4,Università degli Studi di PADOVA 
444553431239844.0,4.5,6.0,14.5,4.7,16.1,45.8,Università degli Studi di PADOVA 
444553432249944.0,1.1,1.1,25.5,0.0,1.5,29.2,Università degli Studi di PADOVA 
444553543348845.0,4.1,7.5,27.3,17.2,11.2,67.3,Università degli Studi di PADOVA 
444553551159844.0,6.0,7.5,32.6,16.1,18.0,80.2,Università degli Studi di PADOVA 
444554332248955.0,6.0,7.5,27.3,19.5,9.7,70.0,Università degli Studi di PADOVA 
444554353238754.0,6.0,4.1,34.5,15.0,10.5,70.1,Università degli Studi di PADOVA 
444554451158955.0,4.1,3.7,29.6,8.6,18.0,64.0,Università degli Studi di PADOVA 
444554541138844.0,2.2,3.7,7.7,1.8,0.3,15.7,Università degli Studi di PADOVA 
444554542248744.0,0.7,2.2,12.9,6.7,9.0,31.5,Università degli Studi di PADOVA 
444555431239854.0,2.6,5.6,25.1,10.1,5.9,49.3,Università degli Studi di PADOVA 
444555442359744.0,2.6,7.5,19.3,8.9,2.9,41.2,Università degli Studi di PADOVA 
444555533339853.0,6.0,3.7,33.0,11.9,14.6,69.2,Università degli Studi di PADOVA 
444555533359844.0,6.0,5.6,33.0,19.1,18.0,81.7,Università degli Studi di PADOVA 
444555543148943.0,0.7,5.6,10.3,1.8,8.9,27.3,Università degli Studi di PADOVA 
444633333138755.0,-0.4,2.2,15.6,6.3,8.2,31.9,Università degli Studi di PADOVA 
444633532158943.0,0.3,5.6,25.4,18.7,12.3,62.3,Università degli Studi di PADOVA 
444634333348943.0,6.0,5.6,34.5,22.5,19.5,88.1,Università degli Studi di PADOVA 
444634341248845.0,6.0,7.5,34.5,18.7,11.2,77.9,Università degli Studi di PADOVA 
444634531139943.0,4.1,7.5,32.6,20.6,14.6,79.4,Università degli Studi di PADOVA 
444635552359754.0,6.0,5.6,21.2,13.0,13.8,59.6,Università degli Studi di PADOVA 
444643331149755.0,4.1,5.6,32.6,21.0,16.1,79.4,Università degli Studi di PADOVA 
444643343358845.0,6.0,2.2,23.9,14.2,7.8,54.1,Università degli Studi di PADOVA 
444643431338754.0,0.0,0.0,32.6,4.5,-0.4,36.7,Università degli Studi di PADOVA 
444643451139943.0,4.1,5.6,4.9,3.3,4.7,22.6,Università degli Studi di PADOVA 
444644342238955.0,2.2,3.7,32.6,19.1,14.2,71.8,Università degli Studi di PADOVA 
444644443358753.0,4.5,5.6,34.5,15.7,12.7,73.0,Università degli Studi di PADOVA 
444645453159854.0,6.0,2.2,19.0,10.4,8.2,45.8,Università degli Studi di PADOVA 
444653341348845.0,6.0,5.6,32.6,13.8,10.4,68.4,Università degli Studi di PADOVA 
